CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,DATE_OF_BIRTH,GENDER,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,COUNTRY,CUSTOMER_SEGMENT,REGISTRATION_DATE,IS_ACTIVE,LOYALTY_TIER
CUS-1168F0B51CB,Lisa,Wright,thompsondarlene@example.org,5122398472,1959-03-11,Non-Binary,28471 Christopher Stravenue,Apt. 224,West Brianchester,PW,34441,US,Small Business,2023-04-09 10:22:13.000268,True,Silver
CUS-E0CE1A0DCA4,Amy,Blair,deckerthomas@example.net,001-775-546-1992x406,1979-05-09,Male,72581 Eric Rapid Apt. 956,,Changport,VT,33887,US,Small Business,2024-11-01 01:10:28.338006,True,Bronze
CUS-8D1AD6A31FB,Jenny,Hernandez,toddburton@example.com,001-912-212-1101,1960-05-19,Female,869 Elizabeth Cliffs Suite 074,Apt. 392,Daleview,UT,47026,US,Consumer,2026-02-08 04:55:16.818191,True,Bronze
CUS-B4C2558EF73,Lucas,Blackwell,snydergerald@example.org,464.333.8722x0542,1969-03-14,Male,549 Horn Fields Apt. 083,,West Kelly,NV,02928,US,Corporate,2022-06-04 15:52:59.447659,True,Platinum
CUS-32E83833F91,Mary,Porter,alexander70@example.org,5599685195,1976-10-31,Non-Binary,6329 Gutierrez Grove,,South Samantha,NJ,42300,US,Corporate,2023-01-21 14:31:28.873842,True,Bronze
CUS-46A6A81851F,Ernest,Howard,andresmiller@example.com,(681)329-2059x229,1950-01-10,Prefer Not to Say,02955 Hall Gardens Suite 262,,Elizabethburgh,AZ,57053,US,Consumer,2025-07-04 01:22:47.774469,True,Platinum
CUS-58348BF1169,Matthew,Green,lucasandrea@example.org,531.438.0049,1949-07-31,Male,21215 Dixon Creek,,Amandachester,ND,55178,US,Enterprise,2023-06-02 11:25:09.982050,True,Silver
CUS-3A55947BD42,Victoria,Evans,garciabrandi@example.net,948-980-6442x00629,1985-09-29,Female,58566 Bautista Locks Suite 196,,East Kenneth,HI,15153,US,Small Business,2024-03-18 07:43:13.131896,True,Platinum
CUS-A8D1422CF98,Jennifer,Graham,haroldlee@example.org,310-342-9483x1478,1975-03-18,Female,69999 Johnston Pine Apt. 283,,Lake Andreaton,IN,57122,US,Small Business,2024-08-01 17:13:58.993053,True,Gold
CUS-9A5384882F3,Andrew,Watts,jasminbrown@example.com,228.753.8631,1985-05-03,Prefer Not to Say,43838 Savannah Plaza Apt. 692,,North Shannonside,UT,57149,US,Consumer,2023-08-24 02:14:57.189362,True,Gold
CUS-CC1C07F751A,Stephen,Graham,michaelathompson@example.net,789.363.3761,2001-03-06,Prefer Not to Say,67136 Sanford Coves Apt. 132,,East Rachel,VT,80294,US,Corporate,2022-05-09 18:21:00.405438,True,Gold
CUS-A49D8C7BE41,Emily,Sweeney,michaellopez@example.net,+1-818-775-0677x610,1997-07-17,Female,88143 Christine Mountain,,Huberville,NH,66452,US,Enterprise,2022-04-18 11:36:22.949058,True,Bronze
CUS-527C6CE8D45,Michael,Watkins,amberevans@example.net,320.426.6568x6295,1965-12-04,Non-Binary,9899 Matthew Fork,,Emilytown,WV,58741,US,Consumer,2025-01-02 13:02:17.642177,True,Platinum
CUS-88DFDC018C0,Olivia,Riley,wallacecourtney@example.org,001-296-969-4179x96708,1964-11-15,Prefer Not to Say,8599 Sullivan Club Apt. 984,,South Stevenport,MP,60575,US,Corporate,2025-03-22 17:18:52.766052,True,Silver
CUS-8024CBA6F8C,Crystal,Clark,osbornkelly@example.net,+1-804-245-0928,1966-02-10,Prefer Not to Say,02627 Randy Highway,,North Maryburgh,KY,70577,US,Small Business,2024-02-16 15:53:28.132720,True,Platinum
CUS-46ABAF776C3,Michael,Garcia,aaronwiley@example.net,+1-930-657-4883,1998-01-14,Prefer Not to Say,563 Edward Mission,,Roseton,AL,28400,US,Small Business,2025-09-12 19:50:30.342780,True,Silver
CUS-0C61F85A90B,Michael,Myers,xgarcia@example.net,(630)856-4184x937,1973-10-22,Female,701 Martin Wells,,North Danielborough,NE,49307,US,Consumer,2021-10-06 05:26:54.877751,True,Platinum
CUS-C2C850BC277,David,Hall,kevin42@example.net,+1-206-874-5686x524,1954-06-19,Male,55996 Taylor Manors,,East Sheila,HI,16869,US,Enterprise,2025-12-22 04:44:44.077527,True,Bronze
CUS-E05119614E4,Martin,Lewis,scott04@example.com,476-348-4559x3965,1998-12-18,Prefer Not to Say,350 Rivas Dam,Suite 553,East Jacquelineton,AL,97628,US,Enterprise,2024-07-29 22:21:39.089783,False,Bronze
CUS-627200DBEE4,David,Lopez,ariascarlos@example.net,001-773-727-7264x88395,1980-06-11,Prefer Not to Say,94252 Garcia Crescent,,Tracyland,NV,09225,US,Consumer,2022-10-12 03:08:07.093655,False,Silver
CUS-E5A0541707A,Sabrina,Rice,coxcarol@example.com,674.347.3535x247,1998-01-11,Male,59497 Jordan Vista Apt. 053,,Dixontown,IN,26090,US,Corporate,2021-10-22 07:34:54.528350,True,Gold
CUS-6412B7B9224,Jeff,Miller,barkerjohn@example.net,992.960.8788x28152,1957-11-25,Prefer Not to Say,625 Lawrence Crossing Suite 465,,West Jessica,NJ,67591,US,Enterprise,2022-02-27 05:05:58.857059,True,Gold
CUS-83C9F477D64,William,Boyer,roger73@example.com,667-517-7629x691,1958-10-04,Non-Binary,99946 Green Junctions Apt. 999,,Lake Benjaminton,ND,78564,US,Small Business,2021-10-13 16:05:47.302590,True,Platinum
CUS-74EC51D3AC0,Timothy,Ray,marissasutton@example.com,(411)689-6844,1970-02-04,Non-Binary,979 Kim Points Suite 759,,Karenberg,NC,97742,US,Consumer,2024-04-20 18:08:31.292536,True,Platinum
CUS-7B19E9CA422,Brittany,White,alexanderbrandy@example.net,+1-991-324-8839,1974-08-24,Female,844 Cochran Turnpike Suite 367,,New Wanda,NC,14238,US,Consumer,2022-02-02 07:10:08.961509,True,Bronze
CUS-1B18713B9BB,Jessica,Little,allisonpeterson@example.com,+1-611-793-9781,1981-11-06,Male,992 Sean Ports,,West Leslieside,VI,56236,US,Small Business,2021-12-12 21:33:05.154401,True,Gold
CUS-1594E97BC77,Brenda,Walker,christopher58@example.net,001-307-205-3260x11939,1961-03-12,Male,742 Bailey Gardens,Suite 090,Margaretville,PR,66336,US,Enterprise,2026-02-26 00:10:28.172366,True,Platinum
CUS-BADF19CD02B,Brad,Murphy,kevinespinoza@example.org,(815)587-3662x7135,1958-09-12,Prefer Not to Say,005 Cantrell Terrace,,Davisport,NV,87750,US,Corporate,2025-02-12 09:37:18.453423,True,Platinum
CUS-4CFE7880DAE,Debra,Valencia,fallen@example.net,(255)411-6436,1998-05-07,Female,7270 Amy Manor,Suite 605,West Gregory,CO,50008,US,Enterprise,2022-10-06 23:19:00.574767,True,Gold
CUS-F57A557EAB0,Jonathan,Montoya,gjones@example.net,001-275-535-8464x051,1987-09-12,Prefer Not to Say,73042 Barnes Manors,Apt. 814,Ericamouth,DE,69820,US,Corporate,2025-07-26 18:38:29.267275,True,Bronze
CUS-F0FB8D427D1,Jerry,Stewart,sarajohnston@example.net,4676649092,2004-08-28,Male,5513 Medina Motorway Apt. 717,Suite 306,Port Danielfurt,MP,36020,US,Enterprise,2025-04-22 09:23:52.717930,True,Silver
CUS-EAC08CAE1ED,Kathy,Johnson,stacey98@example.net,587-538-7758,1959-01-16,Male,7041 Jennifer Rapids Apt. 915,Apt. 860,New David,DC,46203,US,Enterprise,2025-05-30 03:21:42.121605,True,Platinum
CUS-C586234C820,Garrett,Williams,carlos23@example.org,+1-905-677-2044x100,1951-10-25,Female,45381 Christine Station,,Coreyberg,FL,98890,US,Enterprise,2022-11-09 04:26:16.431490,True,Platinum
CUS-36484368A15,Stephanie,Johnson,yhernandez@example.com,001-463-422-5174,1963-10-12,Prefer Not to Say,326 Daniel Village Apt. 034,,Foxville,UT,50502,US,Corporate,2022-12-02 01:46:14.869274,True,Bronze
CUS-165ECA72EFB,Thomas,Hernandez,pwest@example.org,4203095366,1981-07-09,Prefer Not to Say,8900 Marshall Rapids,,Anthonyville,NM,32403,US,Corporate,2022-08-11 00:41:36.888427,True,Gold
CUS-BEB10EADB1A,Stephanie,Hart,johnsonsteven@example.net,213.907.2211x386,2001-04-06,Prefer Not to Say,2210 Stewart Station Suite 617,,New Garyland,NJ,01325,US,Small Business,2022-03-20 15:47:39.011517,False,Bronze
CUS-3B2FAB10252,Kirk,Russell,mandymalone@example.com,(425)521-6025,2002-12-13,Prefer Not to Say,20944 Salinas Mountains Apt. 690,,Lake Ian,SD,82487,US,Consumer,2023-10-22 11:38:59.631054,True,Bronze
CUS-BEB1671FE6B,Cody,Leblanc,portiz@example.com,+1-848-202-4559x851,1953-10-23,Female,158 George Meadows,,Holderport,VA,80015,US,Small Business,2023-04-19 22:11:40.409636,True,Bronze
CUS-9A307A4571D,Nicole,Scott,gmoody@example.net,(523)976-0088x44740,1997-03-31,Male,190 Carter Vista,Apt. 164,North Richardhaven,GU,26925,US,Consumer,2025-07-17 19:48:52.455171,True,Gold
CUS-E92B380C670,Suzanne,Garrett,kristenpetty@example.com,+1-348-564-7082,1981-09-13,Male,4622 Gary Expressway Apt. 720,,Raventown,FM,27781,US,Consumer,2023-07-01 18:42:05.606168,True,Platinum
CUS-C4CDCAC6318,Aaron,Smith,swright@example.net,001-367-339-1900x889,1961-06-01,Non-Binary,09169 Lori Dam Suite 379,,Singhton,MS,01668,US,Small Business,2025-05-04 01:04:37.502045,True,Bronze
CUS-3D7F5DA84A0,Jessica,Evans,bendermichelle@example.net,(874)363-0009x98433,2001-08-16,Non-Binary,1181 Davis Rapids,,Heathermouth,NY,19050,US,Small Business,2024-03-29 06:10:45.524072,False,Platinum
CUS-4491B319A5F,Sydney,Parker,lopezjordan@example.net,2159353466,1965-10-18,Female,9466 Hernandez Center Apt. 082,,Nicoletown,AS,18756,US,Small Business,2025-04-30 03:38:43.032043,True,Bronze
CUS-FB3B49907E5,Amber,Davis,samanthadelgado@example.net,994.602.6208x581,1988-12-05,Non-Binary,3536 Moore Forges,,Wendytown,AL,39122,US,Corporate,2025-01-23 14:49:34.790473,True,Gold
CUS-2168199D078,Christine,Riddle,andrearivera@example.net,861-325-5904,2001-03-09,Non-Binary,9230 Simmons Burg,Apt. 128,New Douglas,CO,04383,US,Small Business,2021-12-20 13:04:56.453673,True,Gold
CUS-E21318C1C0F,Natasha,Solomon,tonyamartinez@example.net,+1-861-751-2048x5076,1959-09-02,Male,6042 Tiffany Manor Apt. 460,,New Christopherbury,AL,48466,US,Corporate,2021-12-25 04:23:49.113437,True,Silver
CUS-A54EF3F59C7,Julia,Garrett,tamaraparker@example.org,335-486-1768x225,1997-07-29,Prefer Not to Say,7086 Padilla Loaf,,Sarahfurt,FL,17543,US,Corporate,2024-01-11 14:00:11.409343,True,Silver
CUS-1B95275A5FB,Chase,House,ahenson@example.net,784.294.7712x903,1947-10-31,Prefer Not to Say,489 Holder Drive,Apt. 354,West Brian,VA,55456,US,Consumer,2022-11-30 06:35:00.765638,True,Bronze
CUS-F2B282B1D03,Karen,Kelley,hernandezmatthew@example.net,(349)352-5492x06441,1987-10-12,Female,88182 Wright Walks Suite 343,,Ericaport,NY,66389,US,Corporate,2025-12-04 05:14:52.637850,True,Platinum
CUS-F5B4FD37C64,Jennifer,Rice,brenda68@example.org,(564)605-1102x1254,1950-09-18,Prefer Not to Say,01604 Smith Garden,Suite 218,Brownton,ID,21886,US,Enterprise,2025-07-25 01:11:07.594771,True,Silver
CUS-37A7BB8786B,Holly,Garcia,lpierce@example.net,+1-301-914-0034x713,1992-08-17,Female,860 Nicole Throughway Suite 259,,Lake Williamville,OR,85437,US,Small Business,2021-11-05 10:45:20.828519,False,Gold
CUS-926D4AA181F,Tiffany,Owens,michelle01@example.org,975.435.8210,1980-09-10,Male,072 George Centers Apt. 716,Apt. 608,Port Christinaberg,DC,27082,US,Enterprise,2022-12-16 09:31:43.899193,True,Gold
CUS-174C18009C9,Natasha,Chapman,fking@example.org,+1-337-253-0768,1957-01-01,Prefer Not to Say,085 Owens Parkway Apt. 024,,Jamesberg,IL,52308,US,Corporate,2024-11-30 18:51:12.945026,True,Platinum
CUS-DF2628D1398,Francis,Holloway,yrichards@example.com,+1-368-857-4670x675,1984-07-29,Prefer Not to Say,95215 Jill Villages,Suite 426,North Timothytown,IL,26404,US,Enterprise,2026-05-08 21:57:23.108269,False,Platinum
CUS-63B565883DD,Tiffany,Friedman,patricia24@example.org,001-519-283-9248x481,1946-03-06,Prefer Not to Say,691 Leslie Forks,,East Craigland,MS,62926,US,Consumer,2023-05-09 17:45:30.316266,False,Gold
CUS-9C832DF1D41,Kathryn,Klein,zwolfe@example.net,239.753.4811,1946-08-10,Prefer Not to Say,7642 Wagner Valley,,Foleyville,MD,62427,US,Small Business,2025-02-16 23:50:51.147115,True,Gold
CUS-1E0261AC70C,Matthew,Garner,taylorkaylee@example.com,651.423.9597x8155,1969-03-30,Male,972 Jessica Brook,Apt. 446,Kelseychester,WI,61131,US,Enterprise,2022-10-07 19:58:38.114379,True,Silver
CUS-08667F8F5D6,Benjamin,Brown,johnsonjames@example.net,915.764.7837x031,1964-11-12,Female,027 Nicholson Ville,,Wesleymouth,VT,60665,US,Corporate,2023-11-16 15:05:22.683008,True,Bronze
CUS-FCC33C4093E,Patrick,Martin,martintownsend@example.com,+1-486-227-2884x07664,1973-08-03,Male,327 Michele Squares Apt. 538,,Alvarezberg,MI,79634,US,Consumer,2024-11-21 10:15:32.997118,True,Bronze
CUS-E7992211579,Patricia,Reynolds,alawson@example.net,001-504-688-6932x055,1945-11-29,Prefer Not to Say,892 Gonzalez Manor,,West Caitlynmouth,NE,34235,US,Small Business,2022-02-28 06:00:22.578905,True,Bronze
CUS-F1C57A18E9B,Leon,Maldonado,robert07@example.net,+1-677-455-4261x903,1998-10-10,Male,62732 Jasmin Extensions Apt. 711,,Port Stevenstad,SD,64738,US,Consumer,2025-05-31 16:40:59.950068,True,Silver
CUS-AECB62D2756,David,Vasquez,xmartin@example.com,(598)251-4486,1969-02-22,Male,9039 Jacob Falls,,Cooleyshire,WY,72537,US,Consumer,2023-08-30 19:21:52.947098,False,Silver
CUS-43BD0CCD34B,Wendy,Zamora,erikaadams@example.org,3688017703,2003-09-26,Prefer Not to Say,50049 Jason Loop Suite 244,,Laneville,VI,58247,US,Corporate,2021-08-08 19:15:09.540688,True,Silver
CUS-EE939633B58,Joshua,Wallace,ruthsmith@example.org,001-706-354-0259,1989-07-24,Non-Binary,932 Haynes Trace,Suite 281,New David,MS,29626,US,Consumer,2022-05-02 06:33:25.319994,True,Gold
CUS-BCF54F5A9D3,Brandon,Proctor,bbrown@example.net,(776)252-7284x53974,1974-01-18,Prefer Not to Say,864 Robert Park,,Karentown,GA,06346,US,Small Business,2023-04-10 16:31:02.924782,True,Bronze
CUS-AC4E302C93D,Elizabeth,Nielsen,brookemartin@example.org,(443)490-4489x093,1967-06-28,Non-Binary,32023 Jones Drives,,Rebeccamouth,MI,08283,US,Enterprise,2024-04-05 07:24:32.569285,True,Bronze
CUS-D710C3933CB,Nicole,Perez,justin03@example.com,001-588-484-3933,1964-02-02,Non-Binary,2962 Lisa Burg,,Anneside,SD,30711,US,Small Business,2022-02-06 14:33:29.716994,True,Bronze
CUS-BA742233DDC,Marie,Kramer,christopher90@example.com,001-859-565-9992x01237,1950-04-10,Prefer Not to Say,9542 Rebecca Lights Apt. 941,,South Matthew,WY,13318,US,Corporate,2022-02-22 21:35:33.211806,True,Silver
CUS-C17E6A4F9C1,Henry,Griffin,corywatson@example.net,(226)847-5286x4612,1953-02-14,Prefer Not to Say,09928 Stewart Dam,Suite 032,North Michaelbury,VI,43999,US,Enterprise,2024-06-17 21:28:05.640101,True,Bronze
CUS-06A0132A716,Louis,Nelson,craigbowman@example.com,908.477.9724,1969-02-12,Prefer Not to Say,21883 Fuller Spring Suite 819,,Lake Sara,AL,40151,US,Consumer,2023-04-22 16:03:16.319814,False,Bronze
CUS-63712361327,Timothy,Williams,kwalters@example.org,732.299.8651,1955-12-27,Non-Binary,846 Brown Pike Suite 858,,Port Joanne,GA,42527,US,Consumer,2025-05-22 20:11:27.754449,True,Silver
CUS-22F98B4D450,Jennifer,Woods,bkramer@example.net,846.472.9254x35519,1980-07-11,Male,50182 Daniel Shore,,Jacksonport,NV,23058,US,Enterprise,2025-01-11 01:55:16.034151,True,Gold
CUS-EBF2F065725,Jacob,Hodges,debbiedavis@example.org,(234)214-9929,1983-09-05,Prefer Not to Say,2702 Ross Greens Suite 095,,Leeland,NJ,37861,US,Enterprise,2024-04-17 18:36:39.413230,True,Platinum
CUS-66546A8AE17,Andrew,Hall,williamskathleen@example.net,635.938.9222,1951-06-07,Male,0060 Steven Shoals,,West Ricardofurt,DE,90296,US,Consumer,2024-10-07 08:08:51.676410,True,Platinum
CUS-7364D071F09,Mariah,Brown,zberg@example.com,485.500.9537,1962-08-18,Male,6231 Tonya Flat,,Wilsonview,LA,93896,US,Small Business,2025-04-10 07:36:21.919136,True,Gold
CUS-59BA7008426,Ryan,Taylor,jenniferprice@example.com,813-572-7768x5760,1995-04-22,Prefer Not to Say,90461 Murphy Junctions Apt. 887,Apt. 179,East Kevin,HI,05898,US,Consumer,2021-12-31 10:18:54.034323,True,Gold
CUS-3E7314A23A7,Justin,Robinson,joseph41@example.com,(634)956-5386,1981-06-17,Male,54853 Wilkinson Dam,,Hansenton,KY,90706,US,Small Business,2025-12-10 14:33:01.869219,True,Silver
CUS-A2B169AE557,James,Hamilton,bryan00@example.net,238-255-7421x64359,1982-03-04,Male,8146 Kevin Vista,,Mclaughlinport,IN,60218,US,Corporate,2023-11-14 21:19:43.746578,True,Platinum
CUS-0ADB146F816,Rebecca,Green,stephenfoster@example.com,887-556-4672,1970-12-29,Male,4185 Shawna Drive,,Alvarezburgh,OK,14918,US,Small Business,2024-01-22 11:26:27.356946,True,Platinum
CUS-992D3357FF6,Zachary,Cook,jsantos@example.com,5435566050,1973-07-08,Female,833 Randy Rue Suite 306,Suite 182,Lake Isaac,MT,62809,US,Corporate,2021-08-03 15:40:14.838693,False,Silver
CUS-D02CDCB71F5,Dawn,Parsons,wiseshannon@example.net,665.438.5906x73963,1989-05-28,Prefer Not to Say,0550 Duncan Dam Apt. 704,,Hubbardland,ND,53122,US,Small Business,2026-02-01 13:45:16.915756,True,Platinum
CUS-8F8EA198C6B,Scott,Russell,jacobbrown@example.org,(429)907-3992x8919,1953-02-03,Male,5337 Stephen Avenue,Suite 494,South Brenda,GA,04460,US,Consumer,2024-12-11 15:23:57.663152,True,Bronze
CUS-CCB6587CD70,Heather,Nichols,teresamiller@example.org,449-301-4599x67069,1984-05-26,Prefer Not to Say,05498 Susan Groves Apt. 884,Apt. 021,Hardyville,MT,62298,US,Enterprise,2022-07-25 20:20:48.025661,True,Silver
CUS-B28EA546D88,Sara,Hughes,rfinley@example.net,415.389.0164,1966-03-26,Female,0170 Robert Hills,,South Nicholeborough,AK,67764,US,Consumer,2024-01-16 15:39:52.577359,True,Platinum
CUS-C441FB2424B,Anthony,Davidson,gibsonrichard@example.net,(296)282-4485,1974-05-13,Male,274 Charles Plains Apt. 691,,Garrisonburgh,AS,62399,US,Consumer,2024-09-04 15:30:52.644062,True,Silver
CUS-BE0462BA940,David,Grant,maryallen@example.org,402.663.4443x596,1966-07-29,Male,12042 Martin Wells Suite 369,Apt. 912,South Michael,AL,24439,US,Consumer,2023-07-25 16:49:27.537478,True,Bronze
CUS-F92FCD5544A,Joseph,Hayes,wrightnicholas@example.com,7247365240,1959-07-16,Prefer Not to Say,8187 Maxwell Harbors Apt. 364,,North Michael,VT,75206,US,Consumer,2024-04-15 16:11:40.539644,True,Bronze
CUS-FBB4C2FCBFD,Tyrone,Holmes,sheila66@example.org,823.660.6679,1982-05-29,Male,9497 Dennis Causeway,,Jacobhaven,MS,24686,US,Corporate,2023-10-16 23:24:55.088310,False,Silver
CUS-7FC4ED7678A,Robert,Harvey,reyesraymond@example.com,001-496-523-5699,1959-02-06,Prefer Not to Say,8877 Carr Landing Suite 041,,West Alicia,AR,69085,US,Enterprise,2022-05-12 23:56:55.771563,True,Silver
CUS-EE387A1EF8D,Lindsey,Woodard,codygonzalez@example.net,001-239-912-2600x0144,2004-02-13,Non-Binary,143 Monica Street,,East Kevintown,IL,68210,US,Corporate,2026-04-08 19:58:52.082785,True,Silver
CUS-44B60B6D706,Tyler,Hernandez,landerson@example.net,+1-765-464-2240,1949-01-13,Non-Binary,53097 Patterson Union,Apt. 948,Martinezshire,GU,71961,US,Small Business,2025-08-03 14:32:26.316657,True,Platinum
CUS-79559086325,Tiffany,Johnson,richard20@example.org,953.407.9661x8695,1993-04-08,Female,43474 Jennifer Island Apt. 137,,Melissaville,AL,07294,US,Corporate,2026-02-19 19:28:16.119293,True,Bronze
CUS-E1E3F87C4B2,Tyler,Day,crawfordtara@example.org,361.592.0259,1978-01-07,Female,70342 Christian Inlet,Suite 748,Port Josephchester,AK,58687,US,Enterprise,2024-01-06 01:42:54.212026,True,Bronze
CUS-AB564A9399E,Amanda,Cline,lesliejones@example.org,001-976-551-9170x851,2006-01-28,Prefer Not to Say,951 Bell Fields,Suite 091,Williamstad,MI,71883,US,Consumer,2025-04-12 22:15:06.876517,True,Bronze
CUS-C1DA89F37C5,Jessica,Morton,paula74@example.com,001-296-653-9160x770,1946-03-31,Non-Binary,45418 Rollins Trace,,New Sandra,VT,72057,US,Enterprise,2025-03-29 16:21:51.901973,True,Silver
CUS-2DCE5081BD7,Christopher,Ryan,briannalong@example.org,001-403-885-8864x07880,1965-10-19,Female,64693 Jennifer Junctions Suite 230,,New Tricia,ME,35057,US,Enterprise,2022-04-13 11:26:20.897785,True,Silver
CUS-061EC1E97A4,Wesley,Hunter,gillmary@example.com,3893870920,1979-08-10,Male,11326 Garcia Isle Suite 858,,West Frankfurt,IA,24942,US,Enterprise,2025-10-12 20:00:33.923337,True,Bronze
CUS-64AC107CA0E,Daniel,Douglas,phillipsshawn@example.net,+1-622-905-3970x77454,1991-04-19,Non-Binary,231 Christensen Highway,,Reeseshire,MA,96078,US,Consumer,2024-10-27 15:25:06.958392,True,Silver
CUS-FB3B61FFA0D,Joseph,Walter,alara@example.org,(623)259-6053x02618,1953-09-15,Male,703 Black Causeway Suite 063,,South Randychester,MP,01597,US,Consumer,2022-10-02 12:53:52.023534,True,Silver
CUS-728F85EF569,David,Schmidt,hollandroy@example.org,+1-589-210-3909x120,1954-07-21,Prefer Not to Say,94523 Sherman Port,,Hortonstad,IN,15195,US,Corporate,2023-05-22 11:46:27.006242,True,Silver
CUS-3CD8F9C53DE,Madison,Costa,williamsjennifer@example.com,4272574544,1965-08-19,Male,453 David Brook Apt. 896,,Crystalhaven,IL,37645,US,Enterprise,2024-05-27 22:38:37.120325,True,Silver
CUS-C962423B1E0,Megan,Gill,kbaird@example.org,+1-552-817-9705x660,1951-12-29,Male,48607 Kenneth Way Apt. 660,Apt. 351,Williamtown,CA,49582,US,Small Business,2025-12-18 02:35:51.537804,True,Platinum
CUS-86A67A9AA8D,Erin,Jones,erinwalters@example.org,(671)656-0587x90522,1950-04-06,Non-Binary,547 Brown Lane,,Jessicastad,IL,13224,US,Enterprise,2026-04-22 06:38:05.068223,False,Bronze
CUS-A01EA17E618,Luis,Mcmillan,usilva@example.net,519.818.9866x469,1966-04-30,Female,335 Baker Skyway,Suite 680,Gloriaton,WI,24845,US,Consumer,2024-12-06 13:25:17.076244,True,Bronze
CUS-64D9A4C6B0F,Victoria,Benson,fsolis@example.net,530-519-2209x567,1957-06-25,Male,973 Jason Wall,,Robertston,HI,73989,US,Enterprise,2026-05-20 21:20:00.430801,True,Gold
CUS-7B2165152B5,Marco,Hines,ddonovan@example.com,+1-792-442-7739x238,1948-06-23,Prefer Not to Say,209 John Alley,Apt. 693,Port Lauren,NC,37057,US,Small Business,2026-02-20 10:28:10.505393,True,Bronze
CUS-9FF9EC32FE3,Jason,Phillips,jacobsalicia@example.net,8752515452,2003-03-03,Non-Binary,6999 James Forges Apt. 006,Suite 332,Port Katherine,SC,95489,US,Corporate,2022-12-31 19:13:47.430224,True,Silver
